HTR4	Q13639
CTSV	O60911
PTPRH	Q9HD43
PTPRF	P10586
CTSS	P25774
PTPRG	P23470
BABAM1	Q9NWV8
BABAM2	Q9NXR7
CTSO	P43234
CTSL	P07711
CTSK	P43235
CTSH	P09668
PIPSL	A2A3N6
CTSG	P08311
CTSF	Q9UBX1
CTSE	P14091
CTSD	P07339
CTSC	P53634
CTSB	P07858
ANO8	Q9HCE9
ANO9	A1A5B4
HBA2	P69905
ANO6	Q4KMQ2
HBA1	P69905
ANO7	Q6IWH7
ANO4	Q32M45
ANO5	Q75V66
ANO2	Q9NQ90
ANO3	Q9BYT9
CTU2	Q2VPK5
ANO1	Q5XXA6
CTU1	Q7Z7A3
CTTN	Q14247
LNP1	A1A4G5
SLC43A2	Q8N370
SLC43A3	Q8NBI5
SLC43A1	O75387
CAMKK1	Q8N5S9
CAMKK2	Q96RR4
AASDHPPT	Q9NRN7
LNPK	Q9C0E8
SCARB2	Q14108
SCARB1	Q8WTV0
GIMAP1	Q8WWP7
GXYLT1	Q4G148
GIMAP2	Q9UG22
GIMAP4	Q9NUV9
GXYLT2	A0PJZ3
GIMAP5	Q96F15
GIMAP6	Q6P9H5
GIMAP7	Q8NHV1
GIMAP8	Q8ND71
SBF1	O95248
SBF2	Q86WG5
SCARA3	Q6AZY7
ZGPAT	Q8N5A5
SCARA5	Q6ZMJ2
HBE1	P02100
CAMKMT	Q7Z624
SBDS	Q9Y3A5
ATP5MC2	Q06055
ATP5MC3	P48201
ATP5MC1	P05496
WNT6	Q9Y6F9
IGKV3-15	P01624
IGKV3-11	P04433
WNT1	P04628
WNT2	P09544
WNT3	P56703
WNT4	P56705
SPATA6L	Q8N4H0
HBG2	P69892
HBG1	P69891
IGKV3-20	P01619
BUD23	O43709
SCARF2	Q96GP6
SCARF1	Q14162
GALNT9	Q9HCQ5
GALNT8	Q9NY28
BUD31	P41223
TEX13A	Q9BXU3
TEX13B	Q9BXU2
TEX101	Q9BY14
CLCN3	P51790
CLCN2	P51788
CLCN1	P35523
SPATA48	A4D263
KDELC1	Q6UW63
KDELC2	Q7Z4H8
ATP5MGL	Q7Z4Y8
SPATA46	Q5T0L3
GALNT7	Q86SF2
GALNT6	Q8NCL4
GALNT5	Q7Z7M9
GALNT4	Q8N4A0
GALNT3	Q14435
GALNT2	Q10471
GALNT1	Q10472
SPATA2L	Q8IUW3
CLCN7	P51798
CLCN6	P51797
SBK3	P0C264
CLCN5	P51795
CLCN4	P51793
SBK1	Q52WX2
SPATA32	Q96LK8
SPATA33	Q96N06
FAM131C	Q96AQ9
FAM131B	Q86XD5
FAM131A	Q6UXB0
LNX1	Q8TBB1
BUD13	Q9BRD0
FAM90A27P	A6NNH2
LNX2	Q8N448
CYFIP2	Q96F07
ROPN1B	Q9BZX4
CYFIP1	Q7L576
RPLP0P6	Q8NHW5
NUB1	Q9Y5A7
ROPN1L	Q96C74
NME2P1	O60361
MPV17	P39210
CUBN	O60494
ASF1A	Q9Y294
ASF1B	Q9NVP2
FAM149A	XP_005262967
RIC8A	Q9NPQ8
PPP3R1	P63098
RIC8B	Q9NVN3
PPP3R2	Q96LZ3
HBQ1	P09105
TYSND1	Q2T9J0
HBP1	O60381
MYOM1	P52179
KRTAP26-1	Q6PEX3
PRSS22	Q9GZN4
PRSS23	O95084
MYOM2	P54296
PRSS21	Q9Y6M0
MYOM3	Q5VTT5
C11orf98	E9PRG8
NUF2	Q9BZD4
ANXA6	P08133
ANXA7	P20073
LINC00612	Q8N6U2
ANXA8	P13928
ANXA9	O76027
XXYLT1	Q8NBI6
NUDC	Q9Y266
ANXA1	P04083
ANXA2	P07355
ANXA3	P12429
ANXA4	P09525
ANXA5	P08758
PRSS16	Q9NQE7
PRSS12	P56730
C11orf87	Q6NUJ2
CCL14	Q16627
CCL13	Q99616
CCL11	P51671
PRSS48	Q7RTY5
AOAH	P28039
SBSN	Q6UWP8
C11orf68	Q9H3H3
PRSS45	Q7RTY3
PRSS42	Q7Z5A4
C11orf74	Q86VG3
PRSS50	Q9UI38
C11orf71	Q6IPW1
SC5D	O75845
CCL19	Q99731
CCL18	P55774
CCL17	Q92583
CCL16	O15467
CCL15	Q16663
AOC3	Q53YE7
CCL25	O15444
CCL24	O00175
AOC1	P19801
CCL23	P55773
CCL22	O00626
AOC2	Q53YE7
CCL21	O00585
CCL20	P78556
PRSS37	A4D1T9
PRSS38	A1L453
PRSS35	Q8N3Z0
C11orf58	O00193
PRSS33	Q8NF86
C11orf65	Q8NCR3
PRSS41	Q7RTY9
CCL28	Q9NRJ3
CCL27	Q9Y4X3
CCL26	Q9Y258
UHRF1BP1L	A0JNW5
STKLD1	Q8NE28
C11orf49	Q9H6J7
C11orf45	Q8TAV5
C11orf54	Q9H0W9
ABHD12	Q8N2K0
C11orf53	Q8IXP5
ABHD10	Q9NUJ1
C11orf52	Q96A22
ABHD11	Q8NFV4
KRTAP3-3	Q9BYR6
KRTAP3-2	Q9BYR7
KRTAP3-1	Q9BYR8
LHCGR	P22888
C11orf42	Q8N5U0
CUL9	Q8IWT3
CUL7	Q14999
CUL5	Q93034
CUL3	Q13618
HVCN1	Q96D96
CUL2	Q13617
ERV3-1	Q14264
CUL1	Q13616
C11orf24	Q96F05
NACC2	Q96BF6
NACC1	Q96RE7
BTN2A2	Q8WVV5
BTN2A1	Q7KYR7
ZNF658B	Q4V348
NACA2	Q9H009
ABHD18	Q0P651
C11orf16	Q9NQ32
ABHD15	Q6UXT9
NACAD	O15069
MAIP1	Q8WWC4
DTX3L	Q8TDB6
COL25A1	Q9BXS0
NUMB	P49757
IGHV2-70	P01814
REPIN1	Q9BWE0
RSBN1L	Q6PCB5
IMPDH1	P20839
IMPDH2	P12268
MYORG	Q6NSJ0
VSIG1	Q86XK7
VSIG2	Q96IQ7
MYOZ3	Q8TDC0
VSIG4	Q9Y279
MYOZ1	Q9NP98
MYOZ2	Q9NPC6
VSIG8	P0DPA2
MUCL1	Q96DR8
SP110	Q9HB58
MUCL3	Q3MIW9
PTOV1	Q86YD1
SMIM3	Q9BZL3
CUTA	O60888
SMIM2	Q9BVW6
TBCEL	Q5QJ74
SMIM5	Q71RC9
SMIM4	Q8WVI0
TEX264	Q9Y6I9
SMIM1	B2RUZ4
SP140	Q13342
TEX261	Q6UWH6
SMIM7	Q9BQ49
SMIM8	Q96KF7
SCAP	Q12770
SCAI	Q8N9R8
NUS1	Q96E22
AKR1B10	O60218
AKR1B15	C9JRZ8
TMCC3	Q9ULS5
TMCC2	O75069
TMCC1	O94876
CUTC	Q9NTM9
HCCS	P53701
PPCDC	Q96CD2
CCKAR	P32238
TSC22D4	Q9Y3Q8
BTN3A1	O00481
TSC22D1	Q15714
LRRIQ3	A6PVS8
TSC22D3	Q99576
TSC22D2	O75157
LRRIQ1	Q96JM4
BTN3A3	O00478
IZUMO1R	A6ND01
BTN3A2	P78410
DCSTAMP	Q9H295
CCKBR	P32239
RBM12B	Q8IXT5
PRIM2	P49643
SP100	P23497
PRIM1	P49642
RASIP1	Q5U651
SCEL	O95171
RBM15B	Q8NDT2
CUX2	O14529
CUX1	Q13948
SCD5	Q86SK9
LYVE1	Q9Y5Y7
ETNPPL	Q8TBG4
SCGN	O76038
CADPS2	Q86UW7
EPDR1	Q9UM22
PRSS55	Q6UWB4
PRSS56	P0CW18
PRSS53	Q2L4Q9
SELENOO	Q9BVL4
SELENON	Q9NZV5
SELENOM	Q8WWX9
SELENOS	Q9BQE4
SELENOP	P49908
SELENOW	NP_003000
SCG5	P05408
SELENOV	P59797
SCG3	Q8WXD2
SELENOT	P62341
SCG2	P13521
USP53	Q70EK8
USP54	Q70EL1
COX7A2	P14406
COX7A1	P24310
MARCH10	Q8NA82
SCIN	Q9Y6U3
USP50	Q70EL3
USP51	Q70EK9
LRRIQ4	A6NIV6
SMURF2	Q9HAU4
SMURF1	Q9HCE7
COX7B2	Q8TF08
LIN28B	Q6ZN17
LIN28A	Q9H9Z2
ATG16L2	Q8NAA4
ATG16L1	Q676U5
GGTA1P	Q4G0N0
USP35	Q9P2H5
USP36	Q9P275
USP37	Q86T82
PCDHGB7	Q9Y5F8
PCDHGB6	Q9Y5F9
USP38	Q8NB14
USP31	Q70CQ4
PCDHGB5	Q9Y5G0
USP32	Q8NFA0
PCDHGB4	Q9UN71
USP33	Q8TEY7
PCDHGB3	Q9Y5G1
USP34	Q70CQ2
PCDHGB2	Q9Y5G2
GTDC1	Q4AE62
USP39	Q53GS9
GMPPB	Q9Y5P6
DTWD2	Q8NBA8
DTWD1	Q8N5C7
GMPPA	Q96IJ6
AOX1	Q06278
USP30	Q70CQ3
PCDHGA8	Q9Y5G5
USP46	P62068
USP47	Q96K76
PCDHGA7	Q9Y5G6
USP48	Q86UV5
PCDHGA6	Q9Y5G7
USP49	Q70CQ1
CAMK1D	Q8IU85
PCDHGA5	Q9Y5G8
USP42	Q9H9J4
PCDHGA4	Q9Y5G9
USP43	Q70EL4
PCDHGA3	Q9Y5H0
USP44	Q9H0E7
PCDHGA2	Q9Y5H1
USP45	Q70EL2
PCDHGA1	Q9Y5H4
PCDHGA9	Q9Y5G4
HKDC1	Q2TB90
PCDHGB1	Q9Y5G3
USP40	Q9NVE5
USP41	Q3LFD5
CAMK1G	Q96NX5
MCPH1	Q8NEM0
CAMK2B	Q13554
USP13	Q92995
HCN4	Q9Y3Q4
HCN3	Q9P1Z3
USP14	P54578
CAMK2D	Q13557
USP15	Q9Y4E8
USP16	Q9Y5T5
USP10	Q14694
GMPR2	Q9P2T1
USP11	P51784
CAMK2A	Q9UQM7
USP12	O75317
SELENOF	O60613
SELENOK	Q9Y6D0
USP18	Q9UMW8
SELENOI	Q9C0D9
USP19	O94966
SELENOH	Q8IZQ5
CAMK2G	Q13555
USP24	Q9UPU5
USP25	Q9UHP3
USP26	Q9BXU7
USP20	Q9Y2K6
USP21	Q9UK80
PCDHGC5	Q9Y5F6
B3GAT3	O94766
B3GAT2	Q9NPZ5
USP22	Q9UPT9
PCDHGC4	Q9Y5F7
PCDHGC3	Q9UN70
B3GAT1	Q9P2W7
CADPS	Q9ULU8
USP28	Q96RU2
USP29	Q9HBJ7
NEURL4	Q96JN8
NEURL2	Q9BR09
NEURL3	Q96EH8
NEURL1	O76050
SCLY	Q96I15
HCN2	Q9UL51
HCN1	O60741
SCOC	Q9UIL1
SCP2	P22307
PRKACG	P22612
EPSTI1	Q96J88
PRKACA	P17612
PRKACB	P22694
ZNF17	P17021
ZNF18	P17022
PRKAB2	O43741
ZNF19	P17023
SECISBP2	Q96T21
RC3H1	Q5TC82
ZNF10	P21506
BHLHA15	Q7RTS1
ZNF12	P17014
PRKAB1	Q9Y478
ZNF14	P17017
RC3H2	Q9HBD1
ZNF16	P17020
SIGIRR	Q6IA17
LARS2	Q15031
SCO1	O75880
SCO2	O43819
ZNF28	P17035
UNC119B	A6NIH7
AASDH	Q4L235
NPRL2	Q8WTW4
NPRL3	Q12980
ZNF20	P17024
ZNF22	P17026
ZNF23	P17027
ZNF24	P17028
ZNF25	P17030
ZNF26	P17031
LARP1	Q6PKG0
HCRT	O43612
PRPF38B	Q5VTL8
PRPF38A	Q8NAV1
LARP7	Q4G0J3
ZNF32	P17041
ZNF34	Q8IZ26
LARP4	Q71RC2
ZNF35	P13682
LARP6	Q9BRS8
PPFIBP1	Q86W92
PPFIBP2	Q8ND30
LAS1L	Q9Y4W2
FXYD4	P59646
FXYD3	Q14802
FXYD2	P54710
ZNF30	P17039
FXYD1	O00168
SFXN3	Q9BWM7
SFXN4	Q6P4A7
FXYD7	P58549
SFXN1	Q9H9B4
FXYD6	Q9H0Q3
SFXN2	Q96NB2
SFXN5	Q8TD22
PRKAG1	P54619
PRKAG2	Q9UGJ0
ZNF43	P17038
ZNF44	P15621
ZNF45	Q02386
PRKAG3	Q9UGI9
ZNF48	Q96MX3
M1AP	Q8TC57
ZNF41	P51814
APC2	O95996
ZNF57	Q68EA5
TOMM40L	Q969M1
PTRH2	Q9Y3E5
RAPGEF1	Q13905
RAPGEF2	Q9Y4G8
PTRH1	Q86Y79
RAPGEF5	Q92565
CRYAA	P02489
RAPGEF6	Q8TEU7
CRYAB	P02511
HCST	Q9UBK5
RAPGEF3	O95398
RAPGEF4	Q8WZA2
APCS	P02743
SZRD1	Q7Z422
CCM2L	Q9NUG4
ZNF69	Q9UC07
PLAGL1	Q9UM63
PLAGL2	Q9UPG8
EGLN1	Q9GZT9
EGLN3	Q9H6Z9
EGLN2	Q96KS0
MCRS1	Q96EZ8
SCTR	P47872
ZNF76	P36508
ZNF77	Q15935
ZNF79	Q15937
TARBP2	Q15633
TARBP1	Q13395
ZNF70	Q9UC06
ZNF71	Q9NQZ8
ZNF74	Q16587
IL1RAP	Q9NPH3
APEH	P13798
MAP3K8	P41279
MAP3K9	P80192
MAP3K6	O95382
MAP3K7	O43318
MAP3K4	Q9Y6R4
MAP3K5	Q99683
FBXW4	P57775
FBXW5	Q969U6
FBXW8	Q8N3Y1
FBXW7	Q969H0
FBXW9	Q5XUX1
SRCIN1	Q9C0H9
FBXW2	Q9UKT8
CES5A	Q6NT32
TSNAXIP1	Q2TAA8
API5	Q9BZZ5
APIP	Q96GX9
OR56B1	Q8NGI3
PRLHR	P49683
OR56B4	Q8NH76
CERS3	Q8IU89
UNC45A	Q9H3U1
CERS4	Q9HA82
UNC45B	Q8IWX7
CERS5	Q8N5B7
CERS6	Q6ZMG9
RNASET2	O00584
CES4A	Q5XG92
OR56A5	P0C7T3
OR56A4	Q8NGH8
OR56A3	Q8NH54
CERS1	P27544
CERS2	Q96G23
OR56A1	Q8NGH5
PRKAA1	Q13131
PRKAA2	P54646
UHRF2	Q96PU4
UHRF1	Q96T88
MLLT1	Q03111
MLLT3	P42568
MALT1	Q9UDY8
MLLT6	P55198
SORL1	Q92673
APLN	Q9ULZ1
CDKN2AIPNL	Q96HQ2
APLF	Q8IW19
PEG10	Q86TG7
FBXO4	Q9UKT5
FBXO3	Q9UK99
FBXO6	Q9NRD1
FBXO5	Q9UKT4
FBXO8	Q9NRD0
FBXO7	Q9Y3I1
FBXO9	Q9UK97
FBXO2	Q9UK22
BCS1L	Q9Y276
FLYWCH2	Q96CP2
FLYWCH1	Q4VC44
CERKL	Q49MI3
AARS2	Q5JTZ9
SDC4	P31431
SDC2	P34741
SDC3	O75056
CWF19L2	Q2TBE0
APOO	Q9BUR5
APOM	O95445
APOH	P02749
APOF	Q13790
APOD	P05090
APOE	P02649
APOB	P04114
SMLR1	H3BR10
DELE1	Q14154
CYP26A1	O43174
FBXL8	Q96CD0
CWF19L1	Q69YN2
SDC1	P18827
FBXL3	Q9UKT7
FBXL2	Q9UKC9
FBXL5	Q9UKA1
FBXL4	Q9UKA2
FBXL7	Q9UJT9
FBXL6	Q8N531
MRPS17	Q9Y2R5
MRPS15	P82914
MRPS16	Q9Y3D3
MRPS14	O60783
MRPS11	P82912
MRPS12	O15235
MRPS10	P82664
SDF4	Q9BRK5
BPY2C	O14599
SDF2	Q99470
BPY2B	O14599
MRPS28	Q9Y2Q9
MRPS26	Q9BYN8
MRPS27	Q92552
MRPS24	Q96EL2
MRPS25	P82663
MRPS22	P82650
MRPS23	Q9Y3D9
MRPS21	P82921
PRPF40B	Q6NWY9
PRPF40A	O75400
APRT	P07741
SDE2	Q6IQ49
CYLC2	Q14093
CYLC1	P35663
DYNC1I2	Q13409
SELPLG	Q14242
MRPS35	P82673
MRPS36	P82909
MRPS33	Q9Y291
MRPS34	P82930
PRICKLE2	Q7Z3G6
MRPS31	Q92665
PRICKLE3	O43900
MRPS30	Q9NP92
PRICKLE1	Q96MT3
DYNC1I1	O14576
MAP3K2	Q9Y2U5
DYNC1H1	Q14204
MAP3K3	Q99759
MAP3K1	Q13233
SORT1	Q99523
APTX	Q7Z2E3
HDGF	P51858
MAMLD1	Q13495
ZNF80	P51504
ZNF81	P51508
ZNF83	P51522
ZNF84	P51523
ZNF85	Q03923
IGFLR1	Q9H665
ZGRF1	Q86YA3
DNAJB12	Q9NXW2
DNAJB13	P59910
ZNF98	A6NK75
SDHC	Q99643
DNAJB14	Q8TBM8
ZNF99	A8MXY4
SDHD	O14521
SDHA	P31040
SDHB	P21912
ZNF91	Q05481
ZNF92	Q03936
ZNF93	P35789
DNAJB11	Q9UBS4
RNASEH1	O60930
FGF20	Q9NP95
LPXN	O60711
FGF23	Q9GZV9
FGF22	Q9HCT0
FGF21	Q9NSA1
FGF17	O60258
IFT20	Q8IY31
FGF16	O43320
SDK1	Q7Z5N4
IFT22	Q9H7X7
FGF14	Q92915
FGF19	O95750
FGF18	O76093
IFT27	Q9BW83
FGF13	Q92913
FGF12	P61328
FGF11	Q92914
SDK2	Q58EX2
FGF10	O15520
MYSM1	Q5VVJ2
IFT52	Q9Y366
CYP26B1	Q9NR63
LASP1	Q14847
EEF2K	O00418
GGACT	Q9BVM4
IFT57	Q9NWB7
QRFPR	Q96P65
EEF1G	P26641
IFT43	Q96FT9
CYP26C1	Q6V0L0
EEF1D	P29692
IFT46	Q9NQC8
PSMB11	A5LHX3
PSMB10	P40306
POMZP3	Q6PJE2
IL1RL1	Q01638
IFT74	Q96LB3
NWD1	Q149M9
IL1RL2	Q9HB29
NWD2	Q9ULI1
ZPLD1	Q8TCW7
WARS2	Q9UGM6
MSANTD3	Q96H12
SLCO6A1	Q86UG4
MSANTD4	Q8NCY6
CWH43	Q9H720
ZSCAN31	Q96LW9
MSANTD2	Q6P1R3
ZSCAN30	Q86W11
ZSCAN32	Q9NX65
PRKCG	P05129
PRKCI	P41743
PRKCH	P24723
PRKCB	P05771
PRKCE	Q02156
PRKCD	Q05655
AFAP1	Q8N556
PRKCA	P17252
DAAM1	Q9Y4D1
ZSCAN20	P17040
PRKD3	O94806
DAAM2	Q86T65
ZSCAN22	P10073
ZSCAN21	Q9Y5A6
ZSCAN23	Q3MJ62
PRKCQ	Q04759
PRKD2	Q9BZL6
ZSCAN26	Q16670
PRKD1	Q15139
ZSCAN25	Q6NSZ9
FREM1	Q5H8C1
FREM2	Q5SZK8
ZSCAN29	Q8IWY8
PRKDC	P78527
PRDM15	P57071
PRDM14	Q9GZV8
PRDM13	Q9H4Q3
PRDM12	Q9H4Q4
SDSL	Q96GA7
PRDM11	Q9NQV5
PRKCZ	Q05513
PRDM10	Q9NQV6
PRDM16	Q9HAZ2
ZSCAN10	Q96SZ4
ZSCAN12	O43309
ZSCAN16	Q9H4T2
ZSCAN18	Q8TBC5
MEX3D	Q86XN8
MEX3C	Q5U5Q3
MEX3B	Q6ZN04
MEX3A	A1L020
ASH2L	Q9UBL3
ASGR1	P07306
ASGR2	P07307
ZSCAN5A	Q9BUG6
ZSCAN5B	A6NJL1
ASH1L	Q9NR48
ANGPTL7	O43827
ANGPTL6	Q8NI99
ANGPTL8	Q6UXH0
ANGPTL3	Q9Y5C1
ANGPTL2	Q9UKU9
ANGPTL5	Q86XS5
ANGPTL4	Q9BY76
ANGPTL1	O95841
PAPSS2	O95340
PAPSS1	O43252
ERMP1	Q7Z2K6
GTF2B	Q00403
GTF2I	P78347
MAP2K3	P46734
MAP2K4	P45985
MAP2K1	Q02750
MAP2K2	P36507
RALGAPA1	Q6GYQ0
RALGAPA2	Q2PPJ7
SKIDA1	Q1XH10
GTF3A	Q92664
PPEF1	O14829
PPEF2	O14830
MAP2K7	O14733
MAP2K5	Q13163
MAP2K6	P52564
DVL1P1	P54792
TCP10L	Q8TDR4
GAL3ST1	Q99999
PRKG2	Q13237
GAL3ST2	Q9H3Q3
GAL3ST3	Q96A11
PRKG1	Q13976
GAL3ST4	Q96RP7
ALDH9A1	P49189
LEPROT	O15243
ABLIM1	O14639
ABLIM2	Q6H8Q1
ABLIM3	O94929
HDAC10	Q969S8
AQP8	O94778
HDAC11	Q96DB2
AQP9	O43315
AQP6	Q13520
AQP7	O14520
AQP4	P55087
AQP5	P55064
AQP2	P41181
AQP3	Q92482
AQP1	P29972
DYNC2H1	Q8NCM8
CPT1A	Q8WZ48
IFRD2	Q12894
IFRD1	O00458
CPT1C	Q8WZ48
CPT1B	Q92523
NIF3L1	Q9GZT8
HECA	NP_057301
CAGE1	Q8TC20
RTEL1	Q9NZ71
TRANK1	O15050
STRIP1	Q5VSL9
STRIP2	Q9ULQ0
OCEL1	Q9H607
TMED3	Q9Y3Q3
TMED2	Q15363
DGCR6L	Q9BY27
TMED1	Q13445
TMED7	Q9Y3B3
ERMAP	Q96PL5
TMED6	Q8WW62
TMED5	Q9Y3A6
TMED4	Q7Z7H5
ZYG11B	Q9C0D3
TMED9	Q9BVK6
ZYG11A	Q6WRX3
TMED8	Q6PL24
HEG1	Q9ULI3
SDCCAG8	Q86SQ7
DTYMK	P23919
TM4SF20	Q53R12
TM4SF18	Q96CE8
TM4SF19	Q96DZ7
PRKRA	O75569
HELB	Q8NG08
SVEP1	Q4LDE5
ACYP2	P14621
ACYP1	P07311
C15orf61	A6NNL5
C15orf65	H3BRN8
LONRF3	Q496Y0
LONRF1	Q17RB8
LONRF2	Q1L5Z9
CPSF4	O95639
CPSF7	Q8N684
CPSF6	Q16630
HELQ	Q8TDG4
CPSF1	Q10570
HELT	A6NFD8
CPSF3	Q9UKF6
CPSF2	Q9P2I0
HELZ	P42694
SELE	P16581
SEM1	P60896
SELP	P16109
SELL	P14151
BAMBI	Q13145
CRYL1	Q9Y2S2
FGFR4	P22455
FGFR3	P22607
FGFR2	P21802
FGFR1	P11362
C15orf39	Q6ZRI6
OPLAH	O14841
HEPH	Q9BQS7
C15orf40	Q8WUR7
C15orf41	Q9Y2V0
C15orf48	Q9C002
SMKR1	H3BMG3
MYRIP	Q8NFW9
C15orf54	Q8N8G6
TDGF1P3	P51864
TMEM9	Q9P0T7
DEFB4A	O15263
DEFB4B	O15263
NRXN1	Q9ULB1
NRXN3	Q9Y4C0
NRXN2	Q9P2S2
NXF1	Q9UBU9
NXF2	Q9GZY0
NXF3	Q9H4D5
SAP30L	Q9HAJ7
HES1	Q14469
NXF5	Q9H1B4
HES5	Q5TA89
HES4	Q9HCC6
CRYGS	P22914
CRYGN	Q8WXF5
CRYGC	P07315
CRYGD	P07320
CRYGA	P11844
JSRP1	Q96MG2
CRYGB	P07316
CSNK1A1L	Q8N752
ZFYVE9	O95405
ARAF	P10398
C22orf24	Q9Y442
C4BPA	P04003
C4BPB	P20851
C22orf23	Q9BZE7
ZFYVE1	Q9HBF4
C22orf31	O95567
LRAT	O95237
HES7	Q9BYE0
HES6	Q96HZ4
HPCAL1	P37235
RNASE6	Q93091
RNASE4	P34096
RNASE3	P12724
C22orf34	Q6ZV56
GAPVD1	Q14C86
C22orf39	Q6P5X5
RNASE2	P10153
HPCAL4	Q9UM19
RNASE1	P07998
C22orf42	Q6IC83
C22orf46	C9J442
SDR39U1	Q9NRG7
SLCO5A1	Q9H2Y9
EDDM3A	Q14507
IGHV1-69	P01742
EDDM3B	P56851
MCTS1	Q9ULC4
LRBA	P50851
NETO2	Q8NC67
SETX	Q7Z333
DCHS2	Q6V1P9
DCHS1	Q96JQ0
ARF3	P61204
ARF4	P18085
ARF1	P84077
HEXB	P07686
HEXA	P06865
HEXD	Q8WVB3
IGHV1-46	P01743
AREG	P15514
IKBKB	O14920
GPRC6A	Q5T6X5
HEY1	Q9Y5J3
HEY2	Q9UBP5
IKBKG	Q9Y6K9
IKBKE	Q14164
IKBIP	Q70UQ0
ARG2	P78540
ARG1	P05089
CROCCP2	Q86T23
OR9A1P	Q8NGU1
RRAS2	P62070
GPRC5B	Q9NZH0
GPRC5A	Q8NFJ5
GPRC5D	Q9NZD1
GPRC5C	Q9NQ84
ARF5	P84085
ARF6	P62330
RNASEL	Q05823
RNASEK	Q6P5S7
STAU1	O95793
STAU2	Q9NUL3
SEZ6	Q53EL9
STATH	P02808
PROKR1	Q8TCW9
PROKR2	Q8NFJ6
RNASE9	P60153
RNASE8	Q8TDE3
RNASE7	Q9H1E1
STAT4	Q14765
STAT6	P42226
LINC01600	Q96MT4
STAT1	P42224
STAT2	P52630
STAT3	P40763
CASTOR1	Q8WTX7
C22orf15	Q8WYQ4
HEYL	Q9NQ87
LRG1	P02750
CASTOR3	Q8NAP1
CASTOR2	A6NHX0
UBAP1	Q9NZ09
UBAP2	Q5T6F2
ERO1A	Q96HE7
ERO1B	Q86YB8
CCNT2	O60583
CCNT1	O60563
HEPHL1	Q6MZM0
PITX2	Q99697
PITX1	P78337
PITX3	O75364
MINAR1	Q9UPX6
KHNYN	O15037
ADCYAP1	P18509
NPTXR	O95502
PFKFB2	O60825
PFKFB1	P16118
PFKFB4	Q16877
PFKFB3	Q16875
ARL6	Q9H0F7
ARL3	P36405
ARL1	P40616
ARL2	P36404
RAP1GAP	P47736
BCL2L12	Q9HB09
SBNO1	A3KN83
BCL2L13	Q9BXK5
SBNO2	Q9Y2G9
BCL2L10	Q9HD36
BCL2L11	O43521
ATG101	Q9BSB4
CPAMD8	Q8IZJ3
NPTX1	Q15818
NPTX2	P47972
BCL2L14	Q9BZR8
BCL2L15	Q5TBC7
MFHAS1	Q9Y4C4
CNTNAP3	Q9BZ76
CNTNAP2	Q9UHC6
CNTNAP1	P78357
NXT1	Q9UKK6
COX4I1	P13073
COX4I2	Q96KJ9
PIK3CD	O00329
LRMP	Q12912
PIK3CB	P42338
NXT2	Q9NPJ8
PIK3CG	P48736
EIF3CL	B5ME19
ARNT	P27540
PIK3CA	P42336
PIK3C3	Q8NEB9
CNTNAP5	Q8WYK1
CNTNAP4	Q9C0A0
LRP1	Q07954
LRP5	O75197
LRP4	O75096
LRP3	O75074
LRP2	P98164
LRP8	Q14114
LRP6	O75581
PRIMPOL	Q96LW4
CNNM1	Q9NRU3
PCBD1	P61457
PCBD2	Q9H0N5
CNNM2	Q9H8M5
CNNM3	Q8NE01
CNNM4	Q6P4Q7
METAP1D	Q6UB28
EIF4A2	Q14240
EPHB6	O15197
EIF4A1	P60842
TAS2R20	P59543
LRR1	Q96L50
EIF4A3	P38919
ULK4	Q96C45
TONSL	Q96HA7
DNHD1	Q96M86
ARR3	P36575
NUBP1	P53384
NUBP2	Q9Y5Y2
BAIAP2L1	Q9UHR4
BCAP29	Q9UHQ4
CCNL2	Q96S94
EPHB2	P29323
ACAD11	Q709F0
CCNL1	Q9UK58
EPHB1	P54762
ACAD10	Q6JQN1
EPHB4	P54760
EPHB3	P54753
EPHA5	P54756
EPHA4	P54764
ARSA	P15289
EPHA7	Q15375
EPHA6	Q9UF33
EPHA8	P29322
TAS2R10	Q9NYW0
TAS2R13	Q9NYV9
TAS2R14	Q9NYV8
TAS2R16	Q9NYV7
TAS2R19	P59542
ULK3	Q6PHR2
ULK2	Q8IYT8
ULK1	O75385
EPHA1	P21709
EPHA3	P29320
EPHA2	P29317
TAS2R40	P59535
TAS2R41	P59536
TAS2R42	Q7RTR8
TAS2R43	P59537
TAS2R45	P59539
SUPT4H1	P63272
PIK3R4	Q99570
TAS2R46	P59540
PIK3R3	Q92569
PIK3R2	O00459
PIK3R1	P27986
ART5	Q96L15
PIK3R6	Q5UE93
ART3	Q13508
PIK3R5	Q8WYR1
ART4	Q93070
ART1	P52961
RAB11FIP1	Q6WKZ4
PCBP3	P57721
TESPA1	A2RU30
PCBP4	P57723
PCBP1	Q15365
MICAL1	Q8TDZ2
ARSJ	Q5FYB0
PCBP2	Q15366
ARSK	Q6UWY0
ARSH	Q5FYA8
ARSI	Q5FYB1
ARSF	P54793
ARSG	Q96EG1
N4BP3	O15049
RAB11FIP2	Q7L804
ARSD	P51689
RAB11FIP3	O75154
N4BP2	Q86UW6
ARSE	P51690
ARSB	P15848
N4BP1	O75113
CLHC1	Q8NHS4
RAB11FIP4	Q86YS3
RAB11FIP5	Q9BXF6
WWTR1	Q9GZV5
